Марка,Модель,Год выпуска,Цена в г.Владивосток,Цена на аукционе,Двигатель,Мощность,Пробег,URL,Возраст,Марка_код,Модель_код,Коробка передач_механика,Коробка передач_не указано,Цвет_желтый,Цвет_зеленый,Цвет_золотой,Цвет_коричневый,Цвет_не указано,Цвет_оранжевый,Цвет_розовый,Цвет_серебристый,Цвет_серый,Цвет_синий,Цвет_фиолетовый,Цвет_черный,Новый,год,месяц,день,день_недели,квартал,день_года,викенд,сезон,дней_с_публикации
Mercedes-Benz,"C-klasse AMG  автомат, 2022, 2800",2022,2861419,3144330,2000,,2800,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19902125,3,49,1786,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Buick,"GL8  автомат, 2021, 11530",2021,2861419,1302000,2000,,11530,https://autosender.ru/avto-iz-kitaya/buick/gl8/19902099,4,7,3302,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2022, 4900",2022,2861419,2352280,1500,,4900,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19901996,3,49,1802,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2024, 1100",2024,2861419,2523710,1500,,1100,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19901660,1,49,1844,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Audi,"A6  автомат, 2021, 13500",2021,2861419,2471630,2000,,13500,https://autosender.ru/avto-iz-kitaya/audi/a6/19901235,4,2,899,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Buick,"GL8  механика, 2017, 17840",2017,2861419,1443050,2000,,17840,https://autosender.ru/avto-iz-kitaya/buick/gl8/19900895,8,7,3358,True,False,False,False,False,False,True,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Audi,"A4  автомат, 2013, 8600",2013,2861419,713930,2000,,8600,https://autosender.ru/avto-iz-kitaya/audi/a4/19900200,12,2,749,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"S-klasse AMG  автомат, 2023, 2000",2023,2861419,9743300,2500,,2000,https://autosender.ru/avto-iz-kitaya/mercedes-benz/s-klasse-amg/19899872,2,49,5514,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2022, 3400",2022,2861419,2352280,1500,,3400,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19899436,3,49,1791,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2021, 6690",2021,2861419,1951915,1500,,6690,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19898258,4,49,1768,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Buick,"GL8  автомат, 2020, 7000",2020,2861419,1790250,2000,,7000,https://autosender.ru/avto-iz-kitaya/buick/gl8/19898096,5,7,3298,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,2025,3,7,4,1,66,0,2,125
Audi,"A6  автомат, 2021, 12600",2021,2861419,2341430,2000,,12600,https://autosender.ru/avto-iz-kitaya/audi/a6/19897769,4,2,897,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"AMG GLE  автомат, 2020, 3310",2020,2861419,4426800,2000,,3310,https://autosender.ru/avto-iz-kitaya/mercedes-benz/amg-gle/19897213,5,49,1074,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
Mercedes-Benz,"C-klasse AMG  автомат, 2017, 8900",2017,2861419,1842330,2000,,8900,https://autosender.ru/avto-iz-kitaya/mercedes-benz/c-klasse-amg/19895417,8,49,1643,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,2025,3,7,4,1,66,0,2,125
